precipitation,temp_max,temp_min,wind,weather
0,22.2,8.9,3.1,rain
0,22.2,8.9,3.6,sun
0,17.2,11.7,3.7,sun
0,16.7,10,3.4,rain
0,16.1,7.8,1.8,sun
0.3,18.9,11.1,1.5,rain
3.8,17.8,12.2,2.7,rain
6.6,20,12.8,3.7,rain
0.3,18.9,10.6,3.7,rain
0,17.2,9.4,2.9,sun
1.3,12.8,8.9,3.1,rain
16,13.3,8.3,3.3,rain
0,16.1,6.1,3.4,sun
16.5,16.1,8.9,3.5,rain
1.5,15,8.3,3,rain
0,17.2,8.3,4.7,rain
0,18.9,10,2.9,sun
0,23.3,10,1.8,rain
0.8,18.3,12.8,3.9,rain
0,16.1,11.1,4.3,sun
0,17.2,10,2.7,sun
0,22.2,9.4,1.7,sun
0,21.1,15,4.1,rain
0,18.9,11.7,6.4,sun
3,17.2,10,3.8,rain
1,19.4,10,3,rain
0,24.4,10,3,sun
0,23.9,11.7,2.1,sun
15.7,13.9,11.7,1.9,rain
8.6,15.6,9.4,2.5,rain
0,19.4,9.4,2,drizzle
0.5,19.4,11.1,3.1,rain
0,18.3,10.6,3.4,rain
0,22.8,8.9,1.8,sun
0,22.2,11.7,2.5,rain
0.3,21.7,15,1.9,rain
3,20,13.3,2.4,rain
0,20,12.2,2.3,rain
2,18.9,11.7,2.1,rain
5.8,18.3,10.6,6,rain
0,20.6,9.4,3.8,sun
0,24.4,10.6,3.1,drizzle
0,25,11.1,2.1,sun
0,26.7,12.8,3.8,sun
0,28.3,14.4,2.8,rain
1.5,25,12.8,2,rain
0,23.9,11.1,2.3,drizzle
0,27.8,13.3,2.9,fog
0,25.6,13.3,2.7,drizzle
0.5,23.3,13.9,2.2,rain
0,25,15,2.2,rain
0,18.9,13.3,3.8,rain
0.3,26.1,13.3,2.5,rain
0,21.7,15,2.6,sun
0,21.1,14.4,2.9,sun
0,25,14.4,2.2,sun
15.2,19.4,13.9,4,rain
0,23.9,13.9,2.3,sun
1,20.6,12.2,3.9,rain
0,18.9,11.1,3.3,rain
0,23.3,12.2,4.3,sun
0,26.7,12.8,2.6,sun
0,25.6,12.8,2.2,drizzle
0,18.9,13.9,2.8,drizzle
0,22.2,13.3,1.7,drizzle
0,22.8,15,2,sun
0,19.4,13.3,3,sun
0,22.8,13.9,2.8,sun
0,23.9,13.3,2.2,drizzle
0,23.3,12.2,2.5,sun
0,27.2,12.8,3.9,sun
0,33.9,16.7,3.7,sun
0,33.9,17.8,1.9,sun
0,28.3,15.6,2.5,rain
0,21.1,15,2.6,drizzle
0,22.2,15,3.1,sun
0,24.4,14.4,3.8,drizzle
0,25.6,12.2,2.3,sun
0,28.3,13.3,2.5,sun
0,30.6,15,3,sun
0,30.6,15,2.8,sun
0,28.9,13.9,2.8,sun
0,31.1,16.7,4.7,sun
0,34.4,18.3,2.8,sun
0,32.8,16.1,1.8,sun
0,21.7,14.4,3,drizzle
0,23.3,15,2.7,drizzle
0,25.6,15,1.9,sun
0,23.3,13.3,3,rain
0,22.2,13.3,2.3,sun
0,21.1,13.9,3.8,sun
0,22.2,10,3.3,sun
0,26.1,11.7,3.2,sun
0,21.1,12.2,3.4,sun
0,23.9,13.3,1.8,sun
0,22.8,12.2,3.2,sun
0,22.8,13.3,2.4,sun
0,22.8,12.8,1.9,sun
0,22.2,10.6,2.9,sun
0,21.7,10.6,2.1,sun
0,21.1,10,2,sun
0,22.8,12.8,3.3,sun
0,24.4,11.1,3.1,sun
0,26.1,11.7,2.6,sun
0,28.3,14.4,4.2,sun
0,32.2,13.3,3.1,sun
0,25,13.3,3,sun
0.3,18.9,13.9,5,rain
0.3,20,11.7,3.9,rain
0,20,8.9,4.2,sun
0,22.2,10,5.6,sun
0,27.8,11.7,3.6,sun
0,26.1,11.1,1.5,sun
0,22.2,11.1,1.9,sun
0,24.4,9.4,2.3,sun
0,27.8,11.7,2.2,fog
0,27.8,11.7,1.4,sun
0,23.9,11.7,1.9,drizzle
0,19.4,10,2.5,drizzle
0,16.1,12.8,2.1,drizzle
0.3,19.4,11.7,1.1,rain
0,19.4,10,1.4,fog
0,21.1,10,1.8,fog
0,19.4,11.1,1.7,sun
0,19.4,9.4,1.7,drizzle
0,22.8,10,1.7,drizzle
0,25,12.2,1.1,rain
0,20.6,12.2,4.3,sun
0,21.1,7.8,3.1,sun
0,23.3,8.9,3,sun
0,17.8,10,4.1,sun
0,18.9,7.8,7.3,sun
0,18.9,8.3,6.5,sun
0,21.7,8.9,5.7,sun
0,23.9,7.8,5.1,sun
0,23.9,7.8,1.3,sun
0,21.1,7.8,1.9,sun
0,16.1,8.9,1.6,drizzle
0,12.2,8.3,1.4,drizzle
0,13.9,7.2,1.3,drizzle
2,13.9,8.9,4.6,rain
4.8,15.6,12.2,3.9,rain
16.5,17.8,13.3,3.4,rain
7.9,17.2,11.1,4.6,rain
0,16.1,8.3,5.5,sun
0,14.4,6.1,1.6,sun
